method,alpha,D_o,D_e,n_units,n_categories
Standard (Nominal),0.7633840585094902,566.3333333333327,2393.4707432045407,480,576
Semantic (IS-A only),0.8379860101713121,3997.333333333327,24672.76645405789,480,576
Semantic (Full Relations),0.8424227800517359,3460.999999999998,21963.834627469096,480,576
