mapper1,mapper2,both_responded,agreements,disagreements,percent_agreement
Mapper_A,Mapper_B,455,349,106,76.70329670329672
Mapper_A,Mapper_C,366,244,122,66.66666666666666
Mapper_A,Mapper_D,399,269,130,67.41854636591479
Mapper_B,Mapper_C,363,233,130,64.18732782369146
Mapper_B,Mapper_D,389,232,157,59.6401028277635
Mapper_C,Mapper_D,340,229,111,67.3529411764706
